"","id_business","t0-0_chtime","t0-1_chtime","t0-2_chtime","t0-3_chtime","t0-4_chtime","t0-5_chtime","t0-6_chtime","t1-0_chtime","t1-1_chtime","t1-2_chtime","t1-3_chtime","t1-4_chtime","t1-5_chtime","t1-6_chtime","t2-0_chtime","t2-1_chtime","t2-2_chtime","t2-3_chtime","t2-4_chtime","t2-5_chtime","t2-6_chtime","t3-0_chtime","t3-1_chtime","t3-2_chtime","t3-3_chtime","t3-4_chtime","t3-5_chtime","t3-6_chtime","t4-0_chtime","t4-1_chtime","t4-2_chtime","t4-3_chtime","t4-4_chtime","t4-5_chtime","t4-6_chtime","t5-0_chtime","t5-1_chtime","t5-2_chtime","t5-3_chtime","t5-4_chtime","t5-5_chtime","t5-6_chtime","t6-0_chtime","t6-1_chtime","t6-2_chtime","t6-3_chtime","t6-4_chtime","t6-5_chtime","t6-6_chtime","t7-0_chtime","t7-1_chtime","t7-2_chtime","t7-3_chtime","t7-4_chtime","t7-5_chtime","t7-6_chtime","t8-0_chtime","t8-1_chtime","t8-2_chtime","t8-3_chtime","t8-4_chtime","t8-5_chtime","t8-6_chtime","t9-0_chtime","t9-1_chtime","t9-2_chtime","t9-3_chtime","t9-4_chtime","t9-5_chtime","t9-6_chtime","t10-0_chtime","t10-1_chtime","t10-2_chtime","t10-3_chtime","t10-4_chtime","t10-5_chtime","t10-6_chtime","t11-0_chtime","t11-1_chtime","t11-2_chtime","t11-3_chtime","t11-4_chtime","t11-5_chtime","t11-6_chtime","t12-0_chtime","t12-1_chtime","t12-2_chtime","t12-3_chtime","t12-4_chtime","t12-5_chtime","t12-6_chtime","t13-0_chtime","t13-1_chtime","t13-2_chtime","t13-3_chtime","t13-4_chtime","t13-5_chtime","t13-6_chtime","t14-0_chtime","t14-1_chtime","t14-2_chtime","t14-3_chtime","t14-4_chtime","t14-5_chtime","t14-6_chtime","t15-0_chtime","t15-1_chtime","t15-2_chtime","t15-3_chtime","t15-4_chtime","t15-5_chtime","t15-6_chtime","t16-0_chtime","t16-1_chtime","t16-2_chtime","t16-3_chtime","t16-4_chtime","t16-5_chtime","t16-6_chtime","t17-0_chtime","t17-1_chtime","t17-2_chtime","t17-3_chtime","t17-4_chtime","t17-5_chtime","t17-6_chtime","t18-0_chtime","t18-1_chtime","t18-2_chtime","t18-3_chtime","t18-4_chtime","t18-5_chtime","t18-6_chtime","t19-0_chtime","t19-1_chtime","t19-2_chtime","t19-3_chtime","t19-4_chtime","t19-5_chtime","t19-6_chtime","t20-0_chtime","t20-1_chtime","t20-2_chtime","t20-3_chtime","t20-4_chtime","t20-5_chtime","t20-6_chtime","t21-0_chtime","t21-1_chtime","t21-2_chtime","t21-3_chtime","t21-4_chtime","t21-5_chtime","t21-6_chtime","t22-0_chtime","t22-1_chtime","t22-2_chtime","t22-3_chtime","t22-4_chtime","t22-5_chtime","t22-6_chtime","t23-0_chtime","t23-1_chtime","t23-2_chtime","t23-3_chtime","t23-4_chtime","t23-5_chtime","t23-6_chtime"
"1","KO9CpaSPOoqm0iCWm5scmg",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,3,4,4,4,1,2,2,3,18,9,17,11,3,6,20,14,12,19,8,5,5,0,1,6,1,0,4,5,2,2,0,2,1,3,6,2,0,0,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","oRqBAYtcBYZHXA7G8FlPaA",3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3","6cy2C9aBXUwkrh4bY1DApw",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,0,0,0,1,0,4,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4","D0IB17N66FiyYDCzTlAI4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","HLQGo3EaYVvAv22bONGkIw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","J6OojF0R_1OuwNlrZI-ynQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","qgNlUte2tSI7OufuuvR8DA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,1,2,0,2,0,0,0,1,2,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","RUZvUPOn90ScX60eETwcCw",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,2,2,1,4,2,5,1,3,1,2,4,4,8,2,3,1,2,5,5,7,0,5,2,3,4,7,8,1,0,0,1,1,5,10,1,0,5,2,3,5,4,3,1,0,3,0,10,3,5,0,2,2,6,5,3,2,3,5,4,3,6,10,6,6,11,3,3,4,3,3,2,0,2,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","I0UXl0AwcpSZCd4_3YCccA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,3,2,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ypDZCOYcy4hPkLwFtiNp5g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
