"","id_user","name_user","review_count_user","average_stars_user","votes_funny_user","votes_cool_user","votes_useful_user"
"1","CR2y7yEm4X035ZMzrTtN9Q","Jim","6","5","0","0","7"
"2","_9GXoHhdxc30ujPaQwh6Ew","Kelle","2","1","0","0","1"
"3","8mM-nqxjg6pT04kwcjMbsw","Stephanie","2","5","0","0","1"
"4","Ch6CdTR2IVaVANr-RglMOg","T","2","5","0","0","2"
"5","NZrLmHRyiHmyT1JrfzkCOA","Beth","1","1","0","0","0"
"6","mWx5Sxt_dx-sYBZg6RgJHQ","Amy","19","3.79","30","36","45"
"7","hryUDaRk7FLuDAYui2oldw","Beach","207","3.83","28","31","130"
"8","2t6fZNLtiqsihVmeO7zggg","christine","2","3","1","1","0"
"9","mn6F-eP5WU37b-iLTop2mQ","Denis","4","4.5","0","2","3"
"10","myXq7PFXkD_yfXT580SXMw","Shawn","10","3.9","5","9","24"
"11","EMpFiVyiaMS58XsLZdS6vA","Carey","6","3.4","3","6","16"
"12","74Y-B-8MJhshV7aYSQ93lQ","Johnatton","5","3.4","0","1","5"
"13","34ir_XnUsrqserEuSZdGQA","David","83","3.39","50","49","109"
"14","1Aq2NzZGREMRdAkw55V7dg","Marcus","8","2.88","1","1","3"
"15","B7XCvzvcriFc8xfIA-Wg4A","Renee","1","5","0","0","0"
"16","1aoDw1jVm5UQrVacWg0vnw","s","8","2.12","6","1","4"
"17","iH6y1T5AZZxaKpSNmvjGWw","joe","4","4.75","3","3","7"
"18","2tyadgcxcaEu5LWgLdwLAQ","Na Humma","22","4.23","2","0","24"
"19","mc2glxrNAZuPnCudIaoK4Q","Kay","11","3.64","0","4","10"
"20","LKFo-Z93fhHHF-CkXoXvLw","Cara","4","3.75","1","3","11"
"21","09ZCt5inrt35zuJVtxBB5A","Shelly","2","2.5","0","1","5"
"22","aSwY5VAO1S0uZASZlZgB3A","Ashley","56","3.79","9","31","81"
"23","oh3BckWd5WXSANfGlnjErQ","Megan","7","4.5","0","1","3"
"24","y5YxcvgbQX_uVW0UtHWKxA","Ann-Marie","9","4","0","0","7"
